,age,condition,gender,learning,d_eat1,d_eat2,d_eat3,d_eat4,time1,time2,time3,time4,att,mvc,mva,mvt,congrats,encour,rul
42,10,Supervised,male,0.128125,7,11,11,9,2.2499166667,2.2504833333,2.0438333333,2.0335,2,11,0,0,17,9,1
43,10,Supervised,female,0.1864035088,9,12,11,14,1.8567166667,1.8121166667,1.5841833333,2.1667,1,8,0,0,21,15,0
44,10,Supervised,female,0.3033333333,11,15,13,10,2.7002333333,2.4001,2.2836666667,2.2667333333,9,8,0,0,23,14,12
45,9,Supervised,male,-0.0268948655,9,10,10,11,1.73195,1.6729166667,1.6742666667,1.6241166667,3,10,0,0,18,7,2
46,9,Supervised,male,0.0797101449,10,9,10,13,2.3169666667,2.3836833333,2.40045,2.42265,5,11,0,0,24,7,0
47,10,Supervised,female,0.3378746594,15,15,17,16,2.15805,2.00005,2.1502666667,2.1192166667,2,7,0,0,21,10,5
48,10,Supervised,female,0.1678321678,10,10,10,13,1.91125,1.4666333333,2.1786,2.35035,1,10,0,0,16,7,2
49,10,Supervised,male,0.0559440559,10,10,8,12,2.2499666667,1.9338166667,1.8004666667,2.21255,3,9,0,0,22,9,3
50,10,Autonomous,female,0.1777777778,9,11,11,7,1.5950666667,1.52525,1.5062333333,0.9520333333,3,6,1,0,10,17,8
51,10,Autonomous,male,0.178470255,13,13,11,10,1.9852333333,2.1670833333,2.2502,1.83315,7,11,0,0,9,23,12
52,10,Autonomous,male,0.3620253165,14,10,15,16,1.9876,2.0000166667,1.9190333333,2.1834166667,5,10,0,0,17,25,10
53,10,Autonomous,female,0.1561561562,6,13,14,13,0.7335333333,1.16065,2.0294666667,1.9837333333,4,4,0,0,12,17,12
54,9,Autonomous,female,0.4738219895,13,11,8,12,2.2050333333,1.37465,1.7099666667,1.7222833333,3,4,0,0,12,21,16
55,9,Autonomous,male,0.1075,10,12,10,12,2.2502333333,2.25,2.01175,2.1209666667,8,7,0,0,5,26,14
56,10,Autonomous,male,0.3380952381,12,15,14,14,2.0793333333,2.3170333333,2.8557333333,2.8988,6,10,0,0,13,23,14
57,10,Autonomous,male,0.1253644315,11,9,15,12,1.8335833333,2.2505333333,2.1335833333,2.2500166667,3,4,0,0,21,25,15
58,9,Autonomous,male,0.0672268908,8,8,10,11,2.2501833333,2.2505,1.98775,2.25025,6,5,0,0,15,25,13
59,10,Autonomous,female,0.2119047619,5,5,6,5,0.9157333333,0.8671833333,1.0662166667,0.7038833333,2,4,0,0,11,8,5
60,10,Autonomous,female,0.1027837259,8,12,8,9,1.45135,2.1000333333,1.8011833333,1.5058833333,7,3,0,0,15,17,9
61,10,Autonomous,female,0.0432098765,14,11,13,14,2.4914166667,2.2501666667,2.37305,2.20165,4,15,0,0,14,24,14
62,9,Autonomous,female,0,12,10,12,15,2.0505166667,2.2503333333,2.2197666667,2.51705,9,8,0,0,15,24,7
63,10,Autonomous,female,0.169451074,7,11,17,10,1.92935,2.2502833333,2.5003,1.7835666667,6,10,0,0,27,21,13
64,9,Autonomous,male,0.2012383901,14,14,14,9,1.8059666667,2.1874,2.3706666667,2.2503333333,5,5,0,0,20,25,15
65,9,Autonomous,male,0.1712707182,10,12,11,10,1.6650166667,2.3833,2.2499833333,2.1878166667,4,9,0,0,20,21,8
66,9,Autonomous,male,0.1728045326,8,15,14,16,1.0140666667,1.5313166667,1.4505,1.3156,0,2,1,0,9,17,10
67,10,Autonomous,female,0.2237288136,8,14,10,13,2.25045,2.58985,2.4783666667,2.645,11,10,0,0,18,24,11
68,10,Autonomous,male,0.0689655172,9,5,7,7,2.25005,1.0520666667,1.1742,0.8843833333,3,4,0,0,10,16,9
69,10,Autonomous,male,-0.0605095541,15,14,11,11,2.2534,2.5335333333,2.38395,1.9435833333,5,5,0,0,12,27,14
70,10,Autonomous,male,0.0252525253,8,9,11,12,2.08985,1.7956,2.2499833333,2.0135166667,7,2,0,0,25,18,9
71,10,Autonomous,female,0.03003003,10,8,11,8,1.2964833333,0.8319,0.89895,1.0076,2,7,0,0,13,9,4
72,9,Autonomous,female,0.0138121547,10,7,8,9,1.7633833333,0.9568666667,1.7790166667,1.20045,3,4,0,0,7,16,9
73,10,Autonomous,male,-0.0122249389,10,8,8,8,1.97055,1.8220166667,1.7166666667,1.7167666667,5,12,0,0,17,13,9
74,9,Autonomous,female,0.1081081081,12,8,7,10,1.6128333333,1.4002,0.8619666667,1.2132333333,1,6,0,0,11,13,6
