,condition,time,type
1016,Supervised,3.797660378,Encouragement
1017,Supervised,1.621201422,Encouragement
1018,Supervised,1.926495474,Encouragement
1019,Supervised,0.504112418,Encouragement
1020,Supervised,1.401756081,Encouragement
1021,Supervised,4.940067065,Encouragement
1022,Supervised,0.93536252,Encouragement
1023,Supervised,1.540959361,Encouragement
1024,Supervised,6.276407515,Encouragement
1025,Supervised,1.849064207,Encouragement
1026,Supervised,3.537925383,Encouragement
1027,Supervised,3.187369832,Encouragement
1028,Supervised,3.324717504,Encouragement
1029,Supervised,3.210188515,Encouragement
1030,Supervised,9.732290348,Encouragement
1031,Supervised,0.542532323,Encouragement
1032,Supervised,4.407792225,Encouragement
1033,Supervised,2.349662252,Encouragement
1034,Supervised,2.77061991,Encouragement
1035,Supervised,1.797421135,Encouragement
1036,Supervised,2.133679898,Encouragement
1037,Supervised,3.950168194,Encouragement
1038,Supervised,1.496939322,Encouragement
1039,Supervised,2.495708782,Encouragement
1040,Supervised,12.269929551,Encouragement
1041,Supervised,2.352525889,Encouragement
1042,Supervised,1.844269263,Encouragement
1043,Supervised,5.951810142,Encouragement
1044,Supervised,2.415066722,Encouragement
1045,Supervised,3.128830347,Encouragement
1046,Supervised,2.20409793,Encouragement
1047,Supervised,4.420866484,Encouragement
1048,Supervised,17.308620008,Encouragement
1049,Supervised,2.597055542,Encouragement
1050,Supervised,1.374400337,Encouragement
1051,Supervised,1.220448634,Encouragement
1052,Supervised,1.006918454,Encouragement
1053,Supervised,2.863983737,Encouragement
1054,Supervised,0.113584771,Encouragement
1055,Supervised,1.710423969,Encouragement
1056,Supervised,12.78050051,Encouragement
1057,Supervised,3.492339767,Encouragement
1058,Supervised,1.284797618,Encouragement
1059,Supervised,1.877859016,Encouragement
1060,Supervised,2.563583883,Encouragement
1061,Supervised,3.295912942,Encouragement
1062,Supervised,3.117899772,Encouragement
1063,Supervised,2.318080342,Encouragement
1064,Supervised,4.496492348,Encouragement
1065,Supervised,8.259111398,Encouragement
1066,Supervised,2.138604942,Encouragement
1067,Supervised,1.857853025,Encouragement
1068,Supervised,3.789382749,Encouragement
1069,Supervised,2.483768507,Encouragement
1070,Supervised,2.539968551,Encouragement
1071,Supervised,2.090677602,Encouragement
1072,Supervised,1.503426941,Encouragement
1073,Supervised,1.557085832,Encouragement
1074,Supervised,1.784060981,Encouragement
1075,Supervised,4.194304728,Encouragement
1076,Supervised,3.104105127,Encouragement
1077,Supervised,0.973627565,Encouragement
1078,Supervised,0.713132373,Encouragement
1079,Supervised,1.407757913,Encouragement
1080,Supervised,1.404800692,Encouragement
1081,Supervised,1.990841896,Encouragement
1082,Supervised,0.142129114,Encouragement
1083,Supervised,5.694755619,Encouragement
1084,Supervised,0.340927651,Encouragement
1085,Supervised,2.446850347,Encouragement
1086,Supervised,3.804898575,Encouragement
1087,Supervised,3.565075216,Encouragement
1088,Supervised,1.961224777,Encouragement
1089,Supervised,3.973629799,Encouragement
1090,Supervised,1.986373404,Encouragement
1091,Supervised,0.416799104,Encouragement
1092,Supervised,1.768291858,Encouragement
1093,Supervised,2.885045178,Encouragement
1094,Supervised,1.942154219,Encouragement
1095,Supervised,2.654074798,Encouragement
1096,Supervised,1.000938394,Encouragement
1097,Supervised,1.836321663,Encouragement
1098,Supervised,7.010978268,Encouragement
1099,Supervised,3.329384609,Encouragement
1100,Supervised,1.517819411,Encouragement
1101,Supervised,2.802390086,Encouragement
1102,Supervised,10.158848216,Encouragement
1103,Supervised,1.983345884,Encouragement
1104,Supervised,3.370954209,Encouragement
1105,Supervised,1.635111274,Encouragement
1106,Supervised,1.817522785,Encouragement
1107,Supervised,1.766826515,Encouragement
1108,Supervised,3.229847387,Encouragement
1109,Supervised,1.458218437,Encouragement
1110,Supervised,2.298670931,Encouragement
1111,Supervised,1.657283263,Encouragement
1112,Supervised,1.507594724,Encouragement
1113,Supervised,2.544111737,Encouragement
1114,Supervised,0.628109248,Encouragement
1115,Supervised,0.731502223,Encouragement
1116,Supervised,1.772126735,Encouragement
1117,Supervised,5.740617572,Encouragement
1118,Supervised,1.615601947,Encouragement
1119,Supervised,1.561294717,Encouragement
1120,Supervised,1.152190968,Encouragement
1121,Supervised,1.984062595,Encouragement
1122,Supervised,1.832795589,Encouragement
1123,Supervised,1.936104924,Encouragement
1124,Supervised,1.787600056,Encouragement
1125,Supervised,7.003789411,Encouragement
1126,Supervised,2.521680489,Encouragement
1127,Supervised,1.311568309,Encouragement
1128,Supervised,0.492137231,Encouragement
1129,Supervised,2.485748026,Encouragement
1130,Supervised,11.026563448,Encouragement
1131,Supervised,1.408617494,Encouragement
1132,Supervised,0.1176735,Encouragement
1133,Supervised,0.917369021,Encouragement
1134,Autonomous,7.910787905,Encouragement
1135,Autonomous,1.020474602,Encouragement
1136,Autonomous,10.723192972,Encouragement
1137,Autonomous,0.266553704,Encouragement
1138,Autonomous,1.140289428,Encouragement
1139,Autonomous,1.062437819,Encouragement
1140,Autonomous,8.837270252,Encouragement
1141,Autonomous,1.768564719,Encouragement
1142,Autonomous,0.484745505,Encouragement
1143,Autonomous,0.235423549,Encouragement
1144,Autonomous,1.833645744,Encouragement
1145,Autonomous,0.8766613,Encouragement
1146,Autonomous,14.309659011,Encouragement
1147,Autonomous,1.691822102,Encouragement
1148,Autonomous,13.790025814,Encouragement
1149,Autonomous,2.054011102,Encouragement
1150,Autonomous,1.342107834,Encouragement
1151,Autonomous,2.491415758,Encouragement
1152,Autonomous,2.38817641,Encouragement
1153,Autonomous,2.661300692,Encouragement
1154,Autonomous,2.267611543,Encouragement
1155,Autonomous,1.618193015,Encouragement
1156,Autonomous,1.633055878,Encouragement
1157,Autonomous,5.413745625,Encouragement
1158,Autonomous,1.360123602,Encouragement
1159,Autonomous,1.54578161,Encouragement
1160,Autonomous,1.834588527,Encouragement
1161,Autonomous,8.529156263,Encouragement
1162,Autonomous,1.252898985,Encouragement
1163,Autonomous,3.750746988,Encouragement
1164,Autonomous,6.686177407,Encouragement
1165,Autonomous,6.763452226,Encouragement
1166,Autonomous,2.420228419,Encouragement
1167,Autonomous,8.140316372,Encouragement
1168,Autonomous,11.098149946,Encouragement
1169,Autonomous,0.963696698,Encouragement
1170,Autonomous,7.821191354,Encouragement
1171,Autonomous,3.252622513,Encouragement
1172,Autonomous,1.053918171,Encouragement
1173,Autonomous,1.73895709,Encouragement
1174,Autonomous,0.43858575,Encouragement
1175,Autonomous,2.563296311,Encouragement
1176,Autonomous,0.012447496,Encouragement
1177,Autonomous,2.003601332,Encouragement
1178,Autonomous,3.355104864,Encouragement
1179,Autonomous,4.122602612,Encouragement
1180,Autonomous,0.83344045,Encouragement
1181,Autonomous,1.452913684,Encouragement
1182,Autonomous,3.848743554,Encouragement
1183,Autonomous,2.867173144,Encouragement
1184,Autonomous,0.491671515,Encouragement
1185,Autonomous,2.704408997,Encouragement
1186,Autonomous,2.143465604,Encouragement
1187,Autonomous,4.52100914,Encouragement
1188,Autonomous,3.113871785,Encouragement
1189,Autonomous,1.93673724,Encouragement
1190,Autonomous,7.236958713,Encouragement
1191,Autonomous,9.895533684,Encouragement
1192,Autonomous,4.106991973,Encouragement
1193,Autonomous,3.058999102,Encouragement
1194,Autonomous,6.703028656,Encouragement
1195,Autonomous,0.305472651,Encouragement
1196,Autonomous,0.552809821,Encouragement
1197,Autonomous,2.410450903,Encouragement
1198,Autonomous,4.632374445,Encouragement
1199,Autonomous,0.977381349,Encouragement
1200,Autonomous,4.813293137,Encouragement
1201,Autonomous,1.711249093,Encouragement
1202,Autonomous,2.225768157,Encouragement
1203,Autonomous,0.365238635,Encouragement
1204,Autonomous,0.687134125,Encouragement
1205,Autonomous,5.764023867,Encouragement
1206,Autonomous,3.287390634,Encouragement
1207,Autonomous,2.560794291,Encouragement
1208,Autonomous,0.271160804,Encouragement
1209,Autonomous,2.642707075,Encouragement
1210,Autonomous,3.777150871,Encouragement
1211,Autonomous,1.476798109,Encouragement
1212,Autonomous,0.859490198,Encouragement
1213,Autonomous,0.26784875,Encouragement
1214,Autonomous,1.021507414,Encouragement
1215,Autonomous,2.541145248,Encouragement
1216,Autonomous,12.952191424,Encouragement
1217,Autonomous,0.842370889,Encouragement
1218,Autonomous,7.036639664,Encouragement
1219,Autonomous,0.571674086,Encouragement
1220,Autonomous,1.518888387,Encouragement
1221,Autonomous,1.453612373,Encouragement
1222,Autonomous,6.470649593,Encouragement
1223,Autonomous,0.399347864,Encouragement
1224,Autonomous,1.522216977,Encouragement
1225,Autonomous,0.217916287,Encouragement
1226,Autonomous,0.535784579,Encouragement
1227,Autonomous,2.815485369,Encouragement
1228,Autonomous,2.444289338,Encouragement
1229,Autonomous,4.651758263,Encouragement
1230,Autonomous,1.447711721,Encouragement
1231,Autonomous,0.987042959,Encouragement
1232,Autonomous,1.264100493,Encouragement
1233,Autonomous,1.031982347,Encouragement
1234,Autonomous,0.326440682,Encouragement
1235,Autonomous,2.610798224,Encouragement
1236,Autonomous,0.81584909,Encouragement
1237,Autonomous,2.905092947,Encouragement
1238,Autonomous,2.494763159,Encouragement
1239,Autonomous,4.059719994,Encouragement
1240,Autonomous,3.160153813,Encouragement
1241,Autonomous,1.41822965,Encouragement
1242,Autonomous,4.141259408,Encouragement
1243,Autonomous,7.092607229,Encouragement
1244,Autonomous,2.854514737,Encouragement
1245,Autonomous,0.991931849,Encouragement
1246,Autonomous,3.441957069,Encouragement
1247,Autonomous,1.726236851,Encouragement
1248,Autonomous,2.325363275,Encouragement
1249,Autonomous,2.573065625,Encouragement
1250,Autonomous,0.867543448,Encouragement
1251,Autonomous,0.19426324,Encouragement
1252,Autonomous,1.710828388,Encouragement
1253,Autonomous,4.310704945,Encouragement
1254,Autonomous,2.247910015,Encouragement
1255,Autonomous,4.378385428,Encouragement
1256,Autonomous,1.840901162,Encouragement
1257,Autonomous,2.149621103,Encouragement
1258,Autonomous,1.042992854,Encouragement
1259,Autonomous,16.012305451,Encouragement
1260,Autonomous,3.141049426,Encouragement
1261,Autonomous,2.446213885,Encouragement
1262,Autonomous,0.729671105,Encouragement
1263,Autonomous,7.294719942,Encouragement
1264,Autonomous,2.639738391,Encouragement
1265,Autonomous,1.94252295,Encouragement
1266,Autonomous,1.005263297,Encouragement
1267,Autonomous,10.04565617,Encouragement
1268,Autonomous,4.547170718,Encouragement
1269,Autonomous,0.648312454,Encouragement
1270,Autonomous,2.948563243,Encouragement
1271,Autonomous,1.851962232,Encouragement
1272,Autonomous,2.080464591,Encouragement
1273,Autonomous,2.176234837,Encouragement
1274,Autonomous,4.417451791,Encouragement
1275,Autonomous,3.064242523,Encouragement
1276,Autonomous,4.844621263,Encouragement
1277,Autonomous,1.12312454,Encouragement
1278,Autonomous,0.581848281,Encouragement
1279,Autonomous,0.023487171,Encouragement
1280,Autonomous,3.153680693,Encouragement
1281,Autonomous,16.562758893,Encouragement
1282,Autonomous,2.415064848,Encouragement
1283,Autonomous,2.164457448,Encouragement
1284,Autonomous,2.519722831,Encouragement
1285,Autonomous,2.751610861,Encouragement
1286,Autonomous,0.925762311,Encouragement
1287,Autonomous,0.29242958,Encouragement
1288,Autonomous,2.361207581,Encouragement
1289,Autonomous,7.633086853,Encouragement
1290,Autonomous,1.850161796,Encouragement
1291,Autonomous,0.339017837,Encouragement
1292,Autonomous,0.973088307,Encouragement
1293,Autonomous,4.611771937,Encouragement
1294,Autonomous,2.761843073,Encouragement
1295,Autonomous,1.578244578,Encouragement
1296,Autonomous,4.002209394,Encouragement
1297,Autonomous,12.723758565,Encouragement
1298,Autonomous,7.750864019,Encouragement
1299,Autonomous,2.193980025,Encouragement
1300,Autonomous,8.332855556,Encouragement
1301,Autonomous,12.937336042,Encouragement
1302,Autonomous,0.465864459,Encouragement
1303,Autonomous,1.856889973,Encouragement
1304,Autonomous,1.067359739,Encouragement
1305,Autonomous,1.318609063,Encouragement
1306,Autonomous,3.754585676,Encouragement
1307,Autonomous,0.208037565,Encouragement
1308,Autonomous,3.808667349,Encouragement
1309,Autonomous,1.740120261,Encouragement
1310,Autonomous,9.736205938,Encouragement
1311,Autonomous,11.948868234,Encouragement
1312,Autonomous,8.975594232,Encouragement
1313,Autonomous,10.535077882,Encouragement
1314,Autonomous,13.559864546,Encouragement
1315,Autonomous,2.873623483,Encouragement
1316,Autonomous,1.901270094,Encouragement
1317,Autonomous,6.712797967,Encouragement
1318,Autonomous,8.075564132,Encouragement
1319,Autonomous,9.749170054,Encouragement
1320,Autonomous,29.118892549,Encouragement
1321,Autonomous,1.934317678,Encouragement
1322,Autonomous,1.264777506,Encouragement
