,condition,time,type
2391,Supervised,1.097033703,Move close
2392,Supervised,0.460608641,Move close
2393,Supervised,16.038331641,Move close
2394,Supervised,17.915733195,Move close
2395,Supervised,3.601232811,Move close
2396,Supervised,9.743699014,Move close
2397,Supervised,2.44486647,Move close
2398,Supervised,9.408588989,Move close
2399,Supervised,15.297750551,Move close
2400,Supervised,4.453338109,Move close
2401,Supervised,7.451996879,Move close
2402,Supervised,6.763166222,Move close
2403,Supervised,1.500720183,Move close
2404,Supervised,13.368151785,Move close
2405,Supervised,4.601720895,Move close
2406,Supervised,1.565830395,Move close
2407,Supervised,1.225677199,Move close
2408,Supervised,3.265843127,Move close
2409,Supervised,5.960969748,Move close
2410,Supervised,7.304718953,Move close
2411,Supervised,5.227220407,Move close
2412,Supervised,5.545779738,Move close
2413,Supervised,4.374172774,Move close
2414,Supervised,14.238793481,Move close
2415,Supervised,4.376575902,Move close
2416,Supervised,5.870622484,Move close
2417,Supervised,3.917894762,Move close
2418,Supervised,6.530595641,Move close
2419,Supervised,12.90169752,Move close
2420,Supervised,1.563421984,Move close
2421,Supervised,5.436278265,Move close
2422,Supervised,11.790976394,Move close
2423,Supervised,14.921191633,Move close
2424,Supervised,0.724014124,Move close
2425,Supervised,9.303040987,Move close
2426,Supervised,4.692980634,Move close
2427,Supervised,4.72741629,Move close
2428,Supervised,0.09028614,Move close
2429,Supervised,4.340015635,Move close
2430,Supervised,1.813973978,Move close
2431,Supervised,4.42528823,Move close
2432,Supervised,3.596147835,Move close
2433,Supervised,7.709814128,Move close
2434,Supervised,1.460627751,Move close
2435,Supervised,3.687833726,Move close
2436,Supervised,3.430026576,Move close
2437,Supervised,12.018945166,Move close
2438,Supervised,0.044436029,Move close
2439,Supervised,3.095290183,Move close
2440,Supervised,9.378201757,Move close
2441,Supervised,15.467853872,Move close
2442,Supervised,12.090730343,Move close
2443,Supervised,8.789857471,Move close
2444,Supervised,4.757902581,Move close
2445,Supervised,11.678642195,Move close
2446,Supervised,5.559928323,Move close
2447,Supervised,2.254104566,Move close
2448,Autonomous,7.428559884,Move close
2449,Autonomous,11.271345412,Move close
2450,Autonomous,0.948989976,Move close
2451,Autonomous,0.093994309,Move close
2452,Autonomous,5.068890038,Move close
2453,Autonomous,4.63517584,Move close
2454,Autonomous,5.761835343,Move close
